num_anions,num_cations,num_fillers,aver_a_elecneg,dev_a_elecneg,aver_c_elecneg,dev_c_elecneg,aver_f_elecneg,dev_f_elecneg,aver_a_ip,dev_a_ip,aver_c_ip,dev_c_ip,aver_f_ip,dev_f_ip,aver_a_ea,dev_a_ea,aver_c_ea,dev_c_ea,aver_f_ea,dev_f_ea,f_mass,total_mass,std_dev_f_mass,std_dev_a_mass,std_dev_c_mass,std_dev_f_frac,std_dev_a_frac,std_dev_c_frac,sum_f_frac,sum_a_frac,sum_c_frac,ratio_a_c,total_val_e,n_300,T,p_n,ZT
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,800.0,0,0.48225915
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,300.0,0,0.14396724
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,400.0,0,0.259886488
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,500.0,0,0.404849523
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,600.0,0,0.554271783
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,700.0,0,0.682363353
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.1,0.0,8.608389,0.0,7.9024681,0.0,5.5769,0.0,1.04740119,0.0,0.15323634,0.0,0.5575462,0.0,123.62586830000001,1810.5610683,0.0,0.0,0.0,0.0,0.0,0.0,0.89,12.02,4.0,3.005,94.77,3.53e+21,800.0,0,0.753314439
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,300.0,0,0.162451867
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,400.0,0,0.305670611
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,500.0,0,0.467382407
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,600.0,0,0.64252258
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,700.0,0,0.79644873
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,127.50556000000002,1808.3527600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.91,11.97,4.0,2.9925,95.49,3.25e+21,800.0,0,0.849970066
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,300.0,0,0.132863182
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,400.0,0,0.237890184
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,500.0,0,0.351167607
